Area,Category,Fuel_Type,Year,Energy_Gen
VIC,renewable,Wind,2015-16,3342
VIC,renewable,Hydro,2015-16,3229
VIC,renewable,Large-scale solar PV,2015-16,12
VIC,renewable,Small-scale solar PV,2015-16,1056
QLD,non-renewable,Black coal,2015-16,48016
QLD,non-renewable,Natural gas,2015-16,13817
QLD,non-renewable,Oil products,2015-16,1199
QLD,renewable,Bagasse_wood,2015-16,1656
QLD,renewable,Biogas,2015-16,116
QLD,renewable,Wind,2015-16,28
QLD,renewable,Hydro,2015-16,492
QLD,renewable,Large-scale solar PV,2015-16,7
QLD,renewable,Small-scale solar PV,2015-16,2056
QLD,renewable,Geothermal,2015-16,0
WA,non-renewable,Black coal,2015-16,10913
WA,non-renewable,Natural gas,2015-16,21900
WA,non-renewable,Oil products,2015-16,3347
WA,renewable,Bagasse_wood,2015-16,0
WA,renewable,Biogas,2015-16,94
WA,renewable,Wind,2015-16,1477
WA,renewable,Hydro,2015-16,217
WA,renewable,Large-scale solar PV,2015-16,28
WA,renewable,Small-scale solar PV,2015-16,761
SA,non-renewable,Brown coal,2015-16,2594
SA,non-renewable,Natural gas,2015-16,4956
SA,non-renewable,Oil products,2015-16,136
SA,renewable,Biogas,2015-16,95
SA,renewable,Wind,2015-16,4398
SA,renewable,Hydro,2015-16,7
SA,renewable,Large-scale solar PV,2015-16,2
SA,renewable,Small-scale solar PV,2015-16,896
TAS,non-renewable,Natural gas,2015-16,858
TAS,non-renewable,Oil products,2015-16,90
TAS,renewable,Biogas,2015-16,27
TAS,renewable,Wind,2015-16,1056
TAS,renewable,Hydro,2015-16,8204
TAS,renewable,Large-scale solar PV,2015-16,0
TAS,renewable,Small-scale solar PV,2015-16,109
NT,non-renewable,Natural gas,2015-16,2485
NT,non-renewable,Oil products,2015-16,523
NT,renewable,Biogas,2015-16,8
NT,renewable,Large-scale solar PV,2015-16,9
NT,renewable,Small-scale solar PV,2015-16,42
All,non-renewable,Black coal,2016-17,118272
All,non-renewable,Brown coal,2016-17,43558
All,non-renewable,Natural gas,2016-17,50460
All,non-renewable,Oil products,2016-17,5273
All,renewable,Bagasse_wood,2016-17,2308
All,renewable,Biogas,2016-17,1193
All,renewable,Wind,2016-17,12597
All,renewable,Hydro,2016-17,16285
All,renewable,Large-scale solar PV,2016-17,672
All,renewable,Small-scale solar PV,2016-17,7399
All,renewable,Geothermal,2016-17,1
NSW,non-renewable,Black coal,2016-17,55967
NSW,non-renewable,Natural gas,2016-17,3331
NSW,non-renewable,Oil products,2016-17,322
NSW,renewable,Bagasse_wood,2016-17,697
NSW,renewable,Biogas,2016-17,406
NSW,renewable,Wind,2016-17,1872
NSW,renewable,Hydro,2016-17,3291
NSW,renewable,Large-scale solar PV,2016-17,568
NSW,renewable,Small-scale solar PV,2016-17,1707
VIC,non-renewable,Black coal,2016-17,36
VIC,non-renewable,Brown coal,2016-17,43558
VIC,non-renewable,Natural gas,2016-17,2659
VIC,non-renewable,Oil products,2016-17,109
VIC,renewable,Bagasse_wood,2016-17,263
VIC,renewable,Biogas,2016-17,431
VIC,renewable,Wind,2016-17,3561
VIC,renewable,Hydro,2016-17,3673
VIC,renewable,Large-scale solar PV,2016-17,14
VIC,renewable,Small-scale solar PV,2016-17,1232
QLD,non-renewable,Black coal,2016-17,51043
QLD,non-renewable,Natural gas,2016-17,12237
QLD,non-renewable,Oil products,2016-17,1216
QLD,renewable,Bagasse_wood,2016-17,1292
QLD,renewable,Biogas,2016-17,118
QLD,renewable,Wind,2016-17,29
QLD,renewable,Hydro,2016-17,672
QLD,renewable,Large-scale solar PV,2016-17,34
QLD,renewable,Small-scale solar PV,2016-17,2336
QLD,renewable,Geothermal,2016-17,1
WA,non-renewable,Black coal,2016-17,11226
WA,non-renewable,Natural gas,2016-17,22941
WA,non-renewable,Oil products,2016-17,2884
WA,renewable,Bagasse_wood,2016-17,56
WA,renewable,Biogas,2016-17,127
WA,renewable,Wind,2016-17,1617
WA,renewable,Hydro,2016-17,213
WA,renewable,Large-scale solar PV,2016-17,34
WA,renewable,Small-scale solar PV,2016-17,941
SA,non-renewable,Brown coal,2016-17,0
SA,non-renewable,Natural gas,2016-17,6028
SA,non-renewable,Oil products,2016-17,183
SA,renewable,Biogas,2016-17,78
SA,renewable,Wind,2016-17,4414
SA,renewable,Hydro,2016-17,4
SA,renewable,Large-scale solar PV,2016-17,4
SA,renewable,Small-scale solar PV,2016-17,1001
TAS,non-renewable,Natural gas,2016-17,898
TAS,non-renewable,Oil products,2016-17,22
TAS,renewable,Biogas,2016-17,25
TAS,renewable,Wind,2016-17,1105
TAS,renewable,Hydro,2016-17,8433
TAS,renewable,Large-scale solar PV,2016-17,0
TAS,renewable,Small-scale solar PV,2016-17,122
NT,non-renewable,Natural gas,2016-17,2367
NT,non-renewable,Oil products,2016-17,537
NT,renewable,Biogas,2016-17,8
NT,renewable,Large-scale solar PV,2016-17,19
NT,renewable,Small-scale solar PV,2016-17,61
All,non-renewable,Black coal,2017-18,121702
All,non-renewable,Brown coal,2017-18,36008
All,non-renewable,Natural gas,2017-18,53882
All,non-renewable,Oil products,2017-18,4821
All,renewable,Bagasse_wood,2017-18,2264
All,renewable,Biogas,2017-18,1253
All,renewable,Wind,2017-18,15174
All,renewable,Hydro,2017-18,16021
All,renewable,Large-scale solar PV,2017-18,1008
All,renewable,Small-scale solar PV,2017-18,8922
All,renewable,Geothermal,2017-18,0
NSW,non-renewable,Black coal,2017-18,57022
NSW,non-renewable,Natural gas,2017-18,3046
NSW,non-renewable,Oil products,2017-18,324
NSW,renewable,Bagasse_wood,2017-18,765
NSW,renewable,Biogas,2017-18,424
NSW,renewable,Wind,2017-18,2432
NSW,renewable,Hydro,2017-18,2916
NSW,renewable,Large-scale solar PV,2017-18,700
NSW,renewable,Small-scale solar PV,2017-18,2096
VIC,non-renewable,Black coal,2017-18,13
VIC,non-renewable,Brown coal,2017-18,36008
VIC,non-renewable,Natural gas,2017-18,3830
VIC,non-renewable,Oil products,2017-18,178
VIC,renewable,Bagasse_wood,2017-18,241
VIC,renewable,Biogas,2017-18,460
VIC,renewable,Wind,2017-18,4304
VIC,renewable,Hydro,2017-18,2803
VIC,renewable,Large-scale solar PV,2017-18,39
VIC,renewable,Small-scale solar PV,2017-18,1481
QLD,non-renewable,Black coal,2017-18,53635
QLD,non-renewable,Natural gas,2017-18,11046
QLD,non-renewable,Oil products,2017-18,1048
QLD,renewable,Bagasse_wood,2017-18,1253
QLD,renewable,Biogas,2017-18,127
QLD,renewable,Wind,2017-18,30
QLD,renewable,Hydro,2017-18,646
QLD,renewable,Large-scale solar PV,2017-18,172
QLD,renewable,Small-scale solar PV,2017-18,2761
WA,non-renewable,Black coal,2017-18,11032
WA,non-renewable,Natural gas,2017-18,24789
WA,non-renewable,Oil products,2017-18,2167
WA,renewable,Bagasse_wood,2017-18,6
WA,renewable,Biogas,2017-18,136
WA,renewable,Wind,2017-18,1587
WA,renewable,Hydro,2017-18,221
WA,renewable,Large-scale solar PV,2017-18,46
WA,renewable,Small-scale solar PV,2017-18,1196
SA,non-renewable,Brown coal,2017-18,0
SA,non-renewable,Natural gas,2017-18,7753
SA,non-renewable,Oil products,2017-18,133
SA,renewable,Biogas,2017-18,74
SA,renewable,Wind,2017-18,5674
SA,renewable,Hydro,2017-18,6
SA,renewable,Large-scale solar PV,2017-18,20
SA,renewable,Small-scale solar PV,2017-18,1163
TAS,non-renewable,Natural gas,2017-18,980
TAS,non-renewable,Oil products,2017-18,24
TAS,renewable,Biogas,2017-18,24
TAS,renewable,Wind,2017-18,1148
TAS,renewable,Hydro,2017-18,9429
TAS,renewable,Large-scale solar PV,2017-18,1
TAS,renewable,Small-scale solar PV,2017-18,139
NT,non-renewable,Natural gas,2017-18,2438
NT,non-renewable,Oil products,2017-18,947
NT,renewable,Biogas,2017-18,9
NT,renewable,Large-scale solar PV,2017-18,31
NT,renewable,Small-scale solar PV,2017-18,86
All,non-renewable,Black coal,2018-19,119845
All,non-renewable,Brown coal,2018-19,34460
All,non-renewable,Natural gas,2018-19,52775
All,non-renewable,Oil products,2018-19,4923
All,renewable,Bagasse_wood,2018-19,2164
All,renewable,Biogas,2018-19,1332
All,renewable,Wind,2018-19,17712
All,renewable,Hydro,2018-19,15967
All,renewable,Large-scale solar PV,2018-19,3732
All,renewable,Small-scale solar PV,2018-19,11116
All,renewable,Geothermal,2018-19,0
NSW,non-renewable,Black coal,2018-19,57735
NSW,non-renewable,Natural gas,2018-19,2360
NSW,non-renewable,Oil products,2018-19,323
NSW,renewable,Bagasse_wood,2018-19,759
NSW,renewable,Biogas,2018-19,419
NSW,renewable,Wind,2018-19,3740
NSW,renewable,Hydro,2018-19,2160
NSW,renewable,Large-scale solar PV,2018-19,1348
NSW,renewable,Small-scale solar PV,2018-19,2717
VIC,non-renewable,Black coal,2018-19,35
VIC,non-renewable,Brown coal,2018-19,34460
VIC,non-renewable,Natural gas,2018-19,3334
VIC,non-renewable,Oil products,2018-19,205
VIC,renewable,Bagasse_wood,2018-19,236
VIC,renewable,Biogas,2018-19,498
VIC,renewable,Wind,2018-19,4864
VIC,renewable,Hydro,2018-19,2703
VIC,renewable,Large-scale solar PV,2018-19,463
VIC,renewable,Small-scale solar PV,2018-19,1900
QLD,non-renewable,Black coal,2018-19,52121
QLD,non-renewable,Natural gas,2018-19,9934
QLD,non-renewable,Oil products,2018-19,1001
QLD,renewable,Bagasse_wood,2018-19,1158
QLD,renewable,Biogas,2018-19,175
QLD,renewable,Wind,2018-19,399
QLD,renewable,Hydro,2018-19,1057
QLD,renewable,Large-scale solar PV,2018-19,1492
QLD,renewable,Small-scale solar PV,2018-19,3330
WA,non-renewable,Black coal,2018-19,9954
WA,non-renewable,Natural gas,2018-19,25778
WA,non-renewable,Oil products,2018-19,2418
WA,renewable,Bagasse_wood,2018-19,11
WA,renewable,Biogas,2018-19,120
WA,renewable,Wind,2018-19,1851
WA,renewable,Hydro,2018-19,217
WA,renewable,Large-scale solar PV,2018-19,75
WA,renewable,Small-scale solar PV,2018-19,1487
SA,non-renewable,Brown coal,2018-19,0
SA,non-renewable,Natural gas,2018-19,7246
SA,non-renewable,Oil products,2018-19,163
SA,renewable,Biogas,2018-19,85
SA,renewable,Wind,2018-19,5711
SA,renewable,Hydro,2018-19,9
SA,renewable,Large-scale solar PV,2018-19,321
SA,renewable,Small-scale solar PV,2018-19,1403
TAS,non-renewable,Natural gas,2018-19,620
TAS,non-renewable,Oil products,2018-19,19
TAS,renewable,Biogas,2018-19,27
TAS,renewable,Wind,2018-19,1147
TAS,renewable,Hydro,2018-19,9821
TAS,renewable,Large-scale solar PV,2018-19,2
TAS,renewable,Small-scale solar PV,2018-19,162
NT,non-renewable,Natural gas,2018-19,3503
NT,non-renewable,Oil products,2018-19,795
NT,renewable,Biogas,2018-19,9
NT,renewable,Large-scale solar PV,2018-19,33
NT,renewable,Small-scale solar PV,2018-19,118
All,non-renewable,Black coal,2019-20,111873
All,non-renewable,Brown coal,2019-20,33649
All,non-renewable,Natural gas,2019-20,55216
All,non-renewable,Oil products,2019-20,4509
All,renewable,Bagasse_wood,2019-20,1998
All,renewable,Biogas,2019-20,1354
All,renewable,Wind,2019-20,20396
All,renewable,Hydro,2019-20,15150
All,renewable,Large-scale solar PV,2019-20,7136
All,renewable,Small-scale solar PV,2019-20,13897
All,renewable,Geothermal,2019-20,0
NSW,non-renewable,Black coal,2019-20,53567
NSW,non-renewable,Natural gas,2019-20,2871
NSW,non-renewable,Oil products,2019-20,337
NSW,renewable,Bagasse_wood,2019-20,716
NSW,renewable,Biogas,2019-20,387
NSW,renewable,Wind,2019-20,4574
NSW,renewable,Hydro,2019-20,2110
NSW,renewable,Large-scale solar PV,2019-20,2085
NSW,renewable,Small-scale solar PV,2019-20,3417
VIC,non-renewable,Black coal,2019-20,12
VIC,non-renewable,Brown coal,2019-20,33649
VIC,non-renewable,Natural gas,2019-20,3117
VIC,non-renewable,Oil products,2019-20,202
VIC,renewable,Bagasse_wood,2019-20,244
VIC,renewable,Biogas,2019-20,536
VIC,renewable,Wind,2019-20,5596
VIC,renewable,Hydro,2019-20,2311
VIC,renewable,Large-scale solar PV,2019-20,873
VIC,renewable,Small-scale solar PV,2019-20,2457
QLD,non-renewable,Black coal,2019-20,48569
QLD,non-renewable,Natural gas,2019-20,11214
QLD,non-renewable,Oil products,2019-20,984
QLD,renewable,Bagasse_wood,2019-20,1030
QLD,renewable,Biogas,2019-20,189
QLD,renewable,Wind,2019-20,928
QLD,renewable,Hydro,2019-20,635
QLD,renewable,Large-scale solar PV,2019-20,3335
QLD,renewable,Small-scale solar PV,2019-20,4120
WA,non-renewable,Black coal,2019-20,9725
WA,non-renewable,Natural gas,2019-20,26919
WA,non-renewable,Oil products,2019-20,2302
WA,renewable,Bagasse_wood,2019-20,8
WA,renewable,Biogas,2019-20,104
WA,renewable,Wind,2019-20,2123
WA,renewable,Hydro,2019-20,206
WA,renewable,Large-scale solar PV,2019-20,175
WA,renewable,Small-scale solar PV,2019-20,1835
SA,non-renewable,Natural gas,2019-20,6614
SA,non-renewable,Oil products,2019-20,159
SA,renewable,Biogas,2019-20,97
SA,renewable,Wind,2019-20,5813
SA,renewable,Hydro,2019-20,10
SA,renewable,Large-scale solar PV,2019-20,628
SA,renewable,Small-scale solar PV,2019-20,1718
TAS,non-renewable,Natural gas,2019-20,197
TAS,non-renewable,Oil products,2019-20,21
TAS,renewable,Biogas,2019-20,31
TAS,renewable,Wind,2019-20,1362
TAS,renewable,Hydro,2019-20,9878
TAS,renewable,Large-scale solar PV,2019-20,3
TAS,renewable,Small-scale solar PV,2019-20,187
NT,non-renewable,Natural gas,2019-20,4285
NT,non-renewable,Oil products,2019-20,504
NT,renewable,Biogas,2019-20,9
NT,renewable,Large-scale solar PV,2019-20,39
NT,renewable,Small-scale solar PV,2019-20,162
