Area,Category,Fuel_Type,Year,Energy_Gen
All,renewable,Wind,2004-05,885
All,renewable,Hydro,2004-05,15612
All,renewable,Small-scale solar PV,2004-05,78
All,renewable,Geothermal,2004-05,1
All,non-renewable,Black coal,2005-06,130232
All,non-renewable,Brown coal,2005-06,54553
All,non-renewable,Natural gas,2005-06,22726
All,non-renewable,Oil products,2005-06,3058
All,non-renewable,Other,2005-06,517
All,renewable,Bagasse_wood,2005-06,3268
All,renewable,Biogas,2005-06,643
All,renewable,Wind,2005-06,1713
All,renewable,Hydro,2005-06,16029
All,renewable,Small-scale solar PV,2005-06,90
All,renewable,Geothermal,2005-06,1
All,non-renewable,Black coal,2006-07,132369
All,non-renewable,Brown coal,2006-07,54376
All,non-renewable,Natural gas,2006-07,31850
All,non-renewable,Oil products,2006-07,2893
All,non-renewable,Other,2006-07,479
All,renewable,Bagasse_wood,2006-07,3316
All,renewable,Biogas,2006-07,637
All,renewable,Wind,2006-07,2611
All,renewable,Hydro,2006-07,14517
All,renewable,Small-scale solar PV,2006-07,105
All,renewable,Geothermal,2006-07,1
All,non-renewable,Black coal,2007-08,129569
All,non-renewable,Brown coal,2007-08,54659
All,non-renewable,Natural gas,2007-08,34956
All,non-renewable,Oil products,2007-08,4058
All,non-renewable,Other,2007-08,106
All,renewable,Bagasse_wood,2007-08,3737
All,renewable,Biogas,2007-08,859
All,renewable,Wind,2007-08,3093
All,renewable,Hydro,2007-08,12057
All,renewable,Small-scale solar PV,2007-08,123
All,renewable,Geothermal,2007-08,1
All,non-renewable,Black coal,2008-09,127271
All,non-renewable,Brown coal,2008-09,56981
All,non-renewable,Natural gas,2008-09,37660
All,non-renewable,Oil products,2008-09,3388
All,non-renewable,Other,2008-09,3580
All,renewable,Bagasse_wood,2008-09,1763
All,renewable,Biogas,2008-09,1032
All,renewable,Wind,2008-09,3824
All,renewable,Hydro,2008-09,11869
All,renewable,Small-scale solar PV,2008-09,156
All,renewable,Geothermal,2008-09,1
